广东,#genre#
广东珠江,http://218.13.170.98:9901/tsfile/live/1000_1.m3u8
广东新闻,http://113.15.187.140:8181/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
广东民生,http://183.239.226.235:9901/tsfile/live/1090_1.m3u8?key=txiptv&playlive=1&authid=0
广东经济科教,http://183.239.226.235:9901/tsfile/live/1042_1.m3u8?key=txiptv&playlive=1&authid=0
广东体育,http://iptv.eatuo.com:9901/tsfile/live/1004_1.m3u8
广东卫视,http://60.12.183.46:9901/tsfile/live/0107_1.m3u8?key=txiptv&playlive=0&authid=0
广东综艺（4K）,http://www.kitcc.cn:8887/udp/239.77.0.244:5146
南方卫视,http://183.239.226.235:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0


香港新闻,#genre#
TVB星河,http://8.210.140.75:68/api/channel/230cw/0l8935.m3u8
翡翠台,http://113.64.94.193:9901/tsfile/live/1006_1.m3u8
无线财经,http://mtw.so/5Vma8v
无线新闻台,http://137.175.30.127:9080/hls/inews.m3u8
无线新闻台2,http://170.178.177.98:27347/livehttpplay?channel_id=20123
无线新闻台3,http://170.178.177.98:27347/livehttpplay?channel_id=30024
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq.flv#EXTM3U
凤凰卫视资讯台,http://113.64.145.100:8081/hls/36/index.m3u8


台湾,#genre#
TVBS新闻,http://ytb.csscc.cc:2086/live.m3u8?c=11
TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/chunklist1.m3u8?$1920x1080
TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/chunklist1.m3u8#P2p://generationnexxxt.com:19806/5459e179cc3b4ea49e5b6ed6a4f298c9
东森新闻台,https://youtube.livednow.com/stream/2dfAzcDf8Zg_




央视,#genre#
CCTV1,http://123.154.30.252:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2财经,http://115.231.206.106:10800/newlive/live/hls/1/live.m3u8
CCTV3-综艺,http://8.210.140.75:68/api/channel/91864/cctv3.m3u8
CCTV4-中文国际,http://183.185.252.241:9999/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://144.52.162.68:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5体育,http://59.62.8.250:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6-电影,http://59.62.8.250:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7-军农,http://222.218.158.139:8181/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8-电视剧,http://59.62.8.250:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9记录,http://218.89.240.144:59901/tsfile/live/0009_1.m3u8?key=txiptv
CCTV10-科教,http://60.12.183.46:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV11-戏剧,http://218.89.240.144:59901/tsfile/live/0011_1.m3u8?key=txiptv
CCTV12-社会与法,http://59.62.8.250:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13-新闻,http://113.26.202.86:1099/tsfile/live/0013_1.m3u8
CCTV14-少儿,http://110.80.17.38:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15-音乐,http://61.138.128.226:19901/tsfile/live/0019_1.m3u8?key=txiptv
CCTV17-农业农村,http://110.80.17.38:9901/tsfile/live/0007_1.m3u8?key=txiptv

湖南电视台,#genre#

湖南卫视,http://116.21.122.2:4433/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
湖南都市,http://222.240.82.92:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
湖南娱乐,http://222.241.154.37:9901/tsfile/live/23023_1.m3u8




电影,#genre#
动作电影,http://171.108.239.116:8181/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
